state,year,fent_gms,hydro_gms,oxy_gms
CT,2013,11407.954276998,369780.271904622,2037088.537206901
CT,2014,10926.425343882,275370.939836027,1983546.2825047509
CT,2015,10628.823503681,291128.70238548,1862717.0686970176
CT,2016,8903.29837575,236815.167139882,1540125.51175607
DC,2006,572.292852927,13716.339809915,58017.736793964
DC,2007,565.319884979,25208.708743345,62523.419689517
DC,2008,565.075155677,11312.685793495,61769.543056398
DC,2009,545.4481739,11680.211876627,70945.12914229
DC,2010,523.419858,11524.534281734,75691.948183646
DC,2011,567.5606885,12003.147233134,84389.69001017499
DC,2012,532.66390755,11896.462169425,84353.594190289
DC,2013,503.556221055,11644.302063564,82728.75990581099
DC,2014,475.05385005,10107.225782089,78092.094533943
DC,2015,444.92956235,7950.260565006,74579.2202153277
DC,2016,408.98299795,7137.245681327,67841.186643154
DE,2006,2379.460797112,539908123.32973,25356677.16335094
DE,2007,21563.761113786,14010878.313623922,37409673.18885055
DE,2008,17157.772985864,14223205.584758263,202132407.44567692
DE,2009,53828.784765464,18861827.25404764,26785458.87241287
DE,2010,17134.467715679,18141561.296123527,30984119.09400902
DE,2011,7443.267694,34679446.605573885,34455466.93828053
DE,2012,5029.295769126,39714400.54568978,382944165.03375673
DE,2013,58764.91607747,33435360.456158485,44750174.45855614
DE,2014,3062.33480585,450047199.2485758,76688834.40039481
DE,2015,1774.177007843,34457345.39113249,39387638.55332482
DE,2016,1644.96554975,26836854.728122786,40966100.67197944
FL,2006,197675982.5597053,268082526.1789576,96307826.44792303
FL,2007,6839859.030593305,165178392.81161633,14742916.33351657
FL,2008,282615293.51865804,84658192.35596977,19365951.265064582
FL,2009,918553.099088505,1284559341.656948,27358209.005051333
FL,2010,2642349393.5296497,615240805.4662235,34351529.320679404
FL,2011,122379344.35283236,9388582012.988302,8422799132.59044
FL,2012,476846964.9661971,637682282.7554702,14016883.357164117
FL,2013,3785441.187083179,25901408.66057885,2384966775.7273235
FL,2014,290656.95964232,2380703330.998078,46593023501.51271
FL,2015,361092.200336053,9636660.98493923,64440629952.4471
FL,2016,402748886.88378304,6895408.597814295,9950272203.687847
GA,2006,157603.752415988,720738358.6624304,28071323.61629701
GA,2007,205842.030186398,9969618.793713942,26010819.619877648
GA,2008,290338.906827512,14930185.99381392,20021170.673185017
GA,2009,239129.829229418,1181064064.2531695,22777987.897579264
GA,2010,297805.95197229,654829042.4658116,24294478.110007957
GA,2011,179621.02425014,9256618767.540384,21878161.359449737
GA,2012,163933.128368785,262776372.69893783,13924919.231866945
GA,2013,221401.43742603096,30635941.424038507,9636554.44061743
GA,2014,685014.663435332,41245987.24900082,50082743.34080689
GA,2015,284405.199683972,33304866.67594485,34368405.905344404
GA,2016,276798.375364259,22418379.00126305,20201412.00608424
HI,2006,2200.059564354,136924.303884451,280041.05002779
HI,2007,2506.550335031,147152.406640725,305690.447495279
HI,2008,2880.028989665,164666.18790966,346368.060642171
HI,2009,2537.09090129,175823.378554701,407448.964554667
HI,2010,2822.20252432,172375.844878757,443371.507250068
HI,2011,2860.0891256,173778.252449704,461204.62639482
HI,2012,2267.7694077,154321.668413981,464787.054612288
HI,2013,2087.763452498,148091.883103385,443245.744741851
HI,2014,2003.6712214,157814.713904603,399311.715597309
HI,2015,1848.0036996,158276.366394428,393676.9060868375
HI,2016,1611.69815445,139787.292994533,387943.328878841
IA,2006,20645.951894659,233688.186308859,210798.844604612
IA,2007,60801.395508739,270827.581905276,228267.23314344
IA,2008,33899.235149123,309078.947056918,239869.918450354
IA,2009,113315.482611936,331134.38867149403,236272.64300037496
IA,2010,124697.337062669,356903.677362512,254310.48998278
IA,2011,71158.123570713,391227.118302226,277885.96100287896
IA,2012,64211.692186388,443883.406563868,288731.762229813
IA,2013,196666.63695225,397495.633867804,265037.070661533
IA,2014,46418.76013714,526070.4685603679,266697.03335967
IA,2015,57945.286555850005,504671.350850596,267929.257756873
IA,2016,115383.950257322,590524.09610754,483494.619842153
ID,2006,1931.223682742,180622.097051823,118734.333915058
ID,2007,2073.824775135,184938.367230901,138164.595058584
ID,2008,2215.111371799,197249.552242298,157474.904395335
ID,2009,2309.73126258,209750.017191184,171690.208491657
ID,2010,2686.586548779,246189.531722874,189286.24252053
ID,2011,2754.470112425,270483.293596096,211430.440017154
ID,2012,2984.372164242,281065.267668973,237441.370286156
ID,2013,2893.044800827,279487.219187847,247914.667040653
ID,2014,2925.727611754,276407.532537668,264971.863667702
ID,2015,2937.841046876,259408.862556109,268305.346502171
ID,2016,2728.960997776,245772.920185053,256679.12221003295
IL,2006,44613.711599226,24156760.60226913,2088448.132558348
IL,2007,82164.759107177,28148153.367171902,2503325.885278443
IL,2008,109734.505396164,28592767.160098616,2476855.030064537
IL,2009,178940.089605188,33207916.247294363,7101192.880833253
IL,2010,391134.246958143,33511836.96324368,12948296.615527416
IL,2011,449751.67257401,34367237.13551607,15803713.758562384
IL,2012,26960704.177399192,35211875.29960568,15357367.892480746
IL,2013,350737.99851142097,26102430.912421446,28555619.47911778
IL,2014,245459.619329517,27988086.436365224,19724606.722212315
IL,2015,235609.982986021,70618446.66101184,28039611.78455476
IL,2016,231781.473167758,17596387.028740384,22423264.076388624
IN,2006,13951.12049616,2501000.813598793,919531.204998262
IN,2007,15911.337643336,2751927.471764135,800111.1770375089
IN,2008,25617.489593586,2972221.470846526,824942.4184815229
IN,2009,30351.369166612,3387308.674727126,912700.114655034
IN,2010,578724.406720525,3485802.918895271,1334278.137876037
IN,2011,43375.852879661,4787391.179181559,1224417.734823904
IN,2012,63792.375610771,4424163.002436003,1300066.4231974198
IN,2013,21627.081373022,4163089.935588172,1187169.644673722
IN,2014,17584.406475535,2688031.648157357,1159613.382517516
IN,2015,18042.5904915,1240966.794271935,1416470.7748236605
IN,2016,28693.435092781,2406652.884754128,7399800.5225344
KS,2006,4895.317626053,376328.909447358,314675.940148588
KS,2007,5431.883289565,503048.588477082,362951.776606874
KS,2008,5722.487485181,491234.482932691,386532.304895632
KS,2009,5772.546189333,410618.428566577,405483.33124737296
KS,2010,6099.530629136,434940.852044243,436946.618891056
KS,2011,6175.345749361,470836.180862309,482483.024991052
KS,2012,6705.241995679,487198.983718295,497745.918952706
KS,2013,6016.034657032,473132.851864004,487421.628190108
KS,2014,6289.37709417,444927.169948586,513567.570127914
KS,2015,6542.4451828500005,391724.994965524,539886.265194335
KS,2016,5686.382087346,363584.592437658,531597.5392896342
KY,2006,11548.805819373,1610453.352583799,880432.975766961
KY,2007,12339.176203402,1878746.1697177049,1268318.0819083329
KY,2008,176052.782184452,4213148.850159325,1199966.644936508
KY,2009,215113.119262723,3353327.487331729,1471132.272797429
KY,2010,293640.34487076,2733429.603856305,13463399.124498298
KY,2011,241224.76697157,3613193.649481141,22438911.88810833
KY,2012,198116.234381142,2756633.966593058,23655296.16009245
KY,2013,205259.70856376,2541798.784813948,7676244.189269972
KY,2014,142848.153818144,2544441.976193554,5588728.840711104
KY,2015,158265.399344211,2237413.4097977174,6758606.080632106
KY,2016,187359.091377809,2070456.164237216,6990875.2783619445
LA,2006,13019.577105784,1550609.008414063,951888.646905242
LA,2007,13329.988363368,1475645.893289682,1070371.434444397
LA,2008,15819.691171444,1656525.039302804,1133382.374465036
LA,2009,13600.469630234,1617903.11826377,1317855.103410111
LA,2010,15074.060780605,1675400.5006267389,1401079.218230641
LA,2011,13835.062973696,1875644.56487381,1628278.231283147
LA,2012,14559.181492644,1918593.321850949,1575658.59655485
LA,2013,13873.724048405,1856126.743977242,1814047.474949352
LA,2014,15107.656674911,1827166.059222432,1620315.738897061
LA,2015,14125.494658021,1326589.3873154677,1760130.59546123
LA,2016,12802.99580172,1399469.010682064,1737628.72054745
MA,2006,23226.528710323,384060.230816983,2652319.3309259107
MA,2007,23751.232723091,407953.479772529,3241671.933524399
MA,2008,23926.002734017,430689.955060595,3246835.251554466
MA,2009,24721.533387687,461972.583263786,3490199.397263722
MA,2010,29236.833937761,428035.523339033,3594674.200060627
MA,2011,29270.72060145,460098.539149518,3725946.421148703
MA,2012,28749.08635768,441081.02466487,3813655.929128183
MA,2013,24679.35549102,417705.283013322,4202362.309260802
MA,2014,50375.917031315,586158.713624516,4002216.461229836
MA,2015,22963.180393253,633801.940388477,3844092.9145570975
MA,2016,18234.944429967,524914.226142592,3216755.071723477
MD,2006,14809.909057352,1720507.224994426,4878152.589638523
MD,2007,16317.488849892,1806977.967715128,2298576.776967489
MD,2008,16454.559164222,1934109.579896219,2147748.893216818
MD,2009,17262.553000689,112875072.13643564,2455025.58612789
MD,2010,21377.207422577,1507114.858151912,2936816.118088895
MD,2011,18041.774167169,1782947.281223943,3248266.412440033
MD,2012,12269.499710428,1642655.020329284,1904307.601316852
MD,2013,11285.316915573,1633403.79758194,1578963.511615238
MD,2014,9442.77367245,994346.904832847,1542307.952552897
MD,2015,12493.451238065,182922.273262933,1489587.65092828
MD,2016,8837.577590213,215751.114339923,1737100.3224317527
ME,2006,2087.438689658,107594.0157462,277731.214983094
ME,2007,2177.163707889,115568.667150195,314754.450757005
ME,2008,2323.567437652,119929.552733348,335909.259720791
ME,2009,2362.81868562,122642.213687055,355831.778673591
ME,2010,2681.780693574,127446.837693195,388635.533371606
ME,2011,2649.8620821,133314.449352088,398195.652512924
ME,2012,2648.862291593,132918.717986523,387097.574918625
ME,2013,2484.05280875,121617.070276364,360506.500327282
ME,2014,2473.86273389,114490.263965541,343925.593311535
ME,2015,2391.691006703,101373.809196087,331118.658865103
ME,2016,2099.547114572,84142.82333575201,283393.78466508497
MI,2006,38635.454609863,2036695.486720901,1490057.4188564229
MI,2007,95424.860272059,2230192.848479539,1841034.072329822
MI,2008,5753105.22306131,2579202.0150981448,2111750.584107708
MI,2009,9924515.371675177,3247743.453687124,3123668.923052513
MI,2010,741564.755251217,3090485.130074151,3965347.083669784
MI,2011,10257278.068883426,3164394.486873883,3533034.5931317178
MI,2012,155732.758482331,3820641.874535794,4530048.347963718
MI,2013,134591.822103484,4367632.566227846,6524985.192693027
MI,2014,64304.050884214,4668733.199398252,6800243.404433867
MI,2015,93682.808421025,5328568.378211378,5596357.991599917
MI,2016,47761.87385756,5781566.313650584,4699543.443236933
MN,2006,37047.569071711,425946.199155295,751577.798586538
MN,2007,15152.518331402,392359.190103577,815515.600376147
MN,2008,14698.67962468,437493.982695634,873496.2273797729
MN,2009,17619.417907773,1432781.32022194,954371.865407522
MN,2010,24778.291557125,619817.313271333,969725.093456974
MN,2011,13315.072866023,508406.570085859,1057780.025256443
MN,2012,12683.097651859,732582.659911787,1130373.671935698
MN,2013,33941.715112245,17779413.376856077,1263079.724534203
MN,2014,33787.353942029,571160.999202511,1307733.210503225
MN,2015,87050.700575824,584343.565313769,1391759.0176232755
MN,2016,144398.701419981,466232.373813604,1210521.0508311377
MO,2006,711302.18191579,30927010.951170757,83778608.71178812
MO,2007,986513.752205531,26567177.27562012,28247956.77951917
MO,2008,642410.106006534,23772556.13373975,49236077.28284084
MO,2009,991827.073911066,29438535.420185376,29714659.92953516
MO,2010,1050443.639910133,20458675.367533453,28113811.504076533
MO,2011,1264007.249524951,22258615.027156096,31483185.186835
MO,2012,1407959.759388888,42047719.56486472,28490415.76688304
MO,2013,1541329.02768306,24469345.283324767,23917669.596068423
MO,2014,1102126.5352182,19941714.54463454,22120569.043061
MO,2015,1271031.51099891,16923245.927688368,24416249.24898209
MO,2016,379811.152669181,18782997.7207612,25649648.78436464
MS,2006,8637.779897671,835907.677392456,354293.80198361
MS,2007,9498.716259551,897688.610052362,472164.367625909
MS,2008,15266.998784287,910126.349685512,1732980.37270064
MS,2009,8543.022734839,733607.029191261,452234.698934728
MS,2010,9492.197058649,802514.56443389,483085.532542524
MS,2011,9960.375794422,1014585.499179467,683743.212951941
MS,2012,24281.726015431,1977080.333441354,3824987.441071913
MS,2013,101060.734056535,11920114.247673422,26165490.39971232
MS,2014,147840.768999899,15319053.369312093,28400978.76021658
MS,2015,170868.791871673,18060013.826099876,27958111.95503317
MS,2016,167500.04183608,16230682.71047305,24221145.083346386
MT,2006,1586.720806544,97134.515202447,146651.207531713
MT,2007,1766.494138517,94860.211931208,163998.52216733
MT,2008,1885.833499995,102128.881548161,181050.746919101
MT,2009,1924.2569768,109707.526083495,184601.40832349495
MT,2010,1994.817832199,126292.890307503,190382.434367007
MT,2011,1969.585334791,137231.224415971,193036.923962398
MT,2012,2011.29305934,140360.059751672,204661.159332059
MT,2013,1880.23510526,135006.100755875,203004.463106846
MT,2014,1834.27190564,129714.004775028,203723.750738603
MT,2015,1777.9997315,122554.75028603,203090.54873822295
MT,2016,1633.1260565,115181.700120373,184821.130942592
NC,2006,354724.980416357,3214497.685137333,27602417.060273837
NC,2007,396860.990407445,3409568.803681363,22549458.797224514
NC,2008,257508174.49792087,4142481.072306237,62734022.71946531
NC,2009,389945.134497879,5241477.977808818,79313532.19436827
NC,2010,2059478209.6850812,4472558.432594286,88634946.6589634
NC,2011,2283374.344891869,5718270.381422515,75790672.19301277
NC,2012,372913.882504143,10613289.40239609,72039932.60459585
NC,2013,437997.800293327,7379738.864628292,2098506210.121183
NC,2014,316634.76069824,8319874.71344118,937881906.6279572
NC,2015,313633.811202213,4172684.369813466,64500154692.43987
NC,2016,249434.939686452,5987829.37869502,10004317210.7279
ND,2006,1581.338137127,55610.624179304,84024.914741581
ND,2007,1777.673720349,66930.346710569,94775.27499274
ND,2008,2115.285625485,81259.266340387,87631.581756863
ND,2009,1872.689757947,95069.527052252,94002.752634556
ND,2010,1969.1291403,100625.230153405,90639.455238944
ND,2011,2085.5792081,129663.329816707,100876.185919866
ND,2012,2174.15130754,104528.012926414,109944.96265138
ND,2013,2161.3991296,93969.695906389,113651.696637426
ND,2014,2210.0614055,93962.3964166,117141.894669758
ND,2015,2727.54419125,86630.172205184,118811.3562112055
ND,2016,1811.485074309,72921.983884708,102498.333466888
NE,2006,11802.865824359002,426329.555102287,8116802.417895018
NE,2007,19311.338853545,321147.098535646,5143893.827218934
NE,2008,10052.973588955,349607.076962169,5882260.197104367
NE,2009,12044.869925681,348964.762326842,7945550.742543966
NE,2010,6199.978399978,314262.043564856,7516258.820150924
