state,year,fent_gms,hydro_gms,oxy_gms
UT,2009,408854.99377342,618209.177091721,1352698.47933308
UT,2010,582509859.833337,636275.405774374,1362667.636819442
UT,2011,120924034.60573532,1795917.381139002,1378073.935126751
UT,2012,337190.506152537,1669592.709298244,1614822.73157197
UT,2013,317268.866885522,892355.50167159,1768420.645948185
UT,2014,431266.1973543,1330027.215422515,1957104.106748861
UT,2015,319052.01354,1506414.654748475,1933764.959574911
UT,2016,402517199.23409486,2563678.3346570786,1814252.903395862
VA,2006,45814.903487394,717743.045843874,1555547.763497677
VA,2007,38253.539317451,832211.367835246,1445276.299010619
VA,2008,138221.41163537398,750042.618648941,1401717.7673977478
VA,2009,46011.414506865,789767.315526996,1665738.996591992
VA,2010,27823.427417041,911426.66849857,2062053.857867105
VA,2011,23552.558198468,1019477.3649530192,1902949.866463594
VA,2012,22641.721942659,1003128.89058812,2855576.224969889
VA,2013,26335.157149109,995628.01880215,3911373.909594799
VA,2014,27122.321026635,1152663.6205578651,4965938.728855174
VA,2015,27396.959764801,1303006.54403274,4450981.428504539
VA,2016,23812.070680673,1315234.408414999,3613947.947285589
VT,2006,528322.235143939,37433.365841127,129336.10813285
VT,2007,594770.815954076,43124.163251016,145479.052535697
VT,2008,747175.4603386039,43377.603408783,178921.106929211
VT,2009,637313.056428274,64161.66781649,174140.165753085
VT,2010,581811.32155692,43748.97392048301,176888.577435085
VT,2011,656203.3476097271,46938.05186077101,206461.161789595
VT,2012,556371.33007974,46792.226465565,191657.37980436
VT,2013,717234.2456998801,42606.664702655,186056.462313325
VT,2014,566638.995374474,39324.498497735,154468.708330253
VT,2015,459358.268797242,35976.820957812,150882.54484346
VT,2016,369002.9832962,30777.874167982,143001.952422995
WA,2006,17609.044051784,949048.163808597,2248034.321053332
WA,2007,19041.704029303,1018897.819635984,2540129.602633298
WA,2008,16768.778313887,964816.347831858,2374888.220959936
WA,2009,19686.605045367,1103814.797459296,2845522.1235368447
WA,2010,21675.632450192,1136403.328917306,2824713.562814532
WA,2011,20157.575124419,1128604.316884393,2682407.940374222
WA,2012,19320.671540333,1199386.437428198,2676890.674025856
WA,2013,18781.759093929,1164714.365693867,2931356.999564877
WA,2014,18451.556112925,1361666.808353904,2962389.450038598
WA,2015,18188.177518482,1391720.829849232,3053400.495867044
WA,2016,15848.713725803,1212932.761799286,2758180.39131042
WI,2006,92790.501124461,1032781.547283978,1103378.315513382
WI,2007,22431.185785234,998775.731819172,1215133.197567305
WI,2008,42790.819115419,1382569.986008149,1320702.991949115
WI,2009,147385.858471784,1515960.1087188069,1837230.728532347
WI,2010,164316.673478835,2635625.521485707,2164015.762520486
WI,2011,96104.351263404,1969715.7192210297,2285351.174244622
WI,2012,72093.31713586401,2873614.886027499,2456618.730900328
WI,2013,255189.9713889,1794335.147378564,2046537.435828669
WI,2014,1780344.532585166,2137359.866863468,2003053.2310486909
WI,2015,191591.159074298,2143027.24992926,2796405.136435965
WI,2016,306280.100598621,1623063.779380556,2132306.476974301
WV,2006,45315.703695507,533498.882439461,954844.676148606
WV,2007,43614.354355322,612903.179790056,1135701.43245324
WV,2008,53821.900027027,688073.629973999,1701519.5492715528
WV,2009,34272.91805995,674314.7193192691,1537046.599327889
WV,2010,26667.967266763,716221.566651164,2206129.228924635
WV,2011,23662.715025516,751518.469998957,2195064.542381198
WV,2012,18392.223807976,725160.505608189,2359733.173568202
WV,2013,18871.846491616,641151.258544217,2397733.054993699
WV,2014,15245.36848826,773743.117042984,2315267.8668594942
WV,2015,14669.398377549,1166760.41315597,2216913.008668504
WV,2016,14678.90291545,1051862.999864668,1984761.951144756
WY,2006,197479003.7661939,48436.424891867,13525350.92108194
WY,2007,717.296422744,49649.860080316,99521.64927306
WY,2008,815.457062358,51772.957158588,95542.933015322
WY,2009,831.325469029,56917.21570976301,258358.159136314
WY,2010,866.011924487,58588.210946574,305745.280372179
WY,2011,1115.05639565,61402.111577506,175218.593752196
WY,2012,966.0080038,63176.03330168,244439.138311814
WY,2013,1089.2416722,68217.685914671,126316.170407189
WY,2014,883.2271248,69611.912751785,229390.28982836095
WY,2015,830.4514922,59762.238650186,146112.874861577
WY,2016,831.88354335,68203.054038865,143920.045291105
