state,year,hydro_gms,oxy_gms,fent_gms
NH,2012,85721.91282248001,503316.620936109,3360.198879516
NH,2013,79472.189166439,499186.171920604,3284.48163808
NH,2014,77452.495505795,491815.345535906,3169.404255874
NH,2015,70243.721878057,494186.587476907,2970.407528154
NH,2016,54538.761667381004,382775.650422849,2481.635796897
MA,2000,146662.77,561173.7,4664.02
MA,2001,138495.53,680654.73,4664.02
MA,2002,156794.115,752890.0449999999,5420.7675
MA,2003,175092.7,825125.36,6177.515
MA,2004,193391.285,897360.675,6934.262500000001
MA,2005,211689.87,969595.99,7691.01
MA,2006,384060.230816983,2652319.3309259107,23226.528710323
MA,2007,407953.479772529,3241671.933524399,23751.232723091
MA,2008,430689.955060595,3246835.251554466,23926.002734017
MA,2009,461972.583263786,3490199.397263722,24721.533387687
MA,2010,428035.523339033,3594674.200060627,29236.833937761
MA,2011,460098.539149518,3725946.421148703,29270.72060145
MA,2012,441081.02466487,3813655.929128183,28749.08635768
MA,2013,417705.283013322,4202362.309260802,24679.35549102
MA,2014,586158.713624516,4002216.461229836,50375.917031315
MA,2015,633801.940388477,3844092.9145570975,22963.180393253
MA,2016,524914.226142592,3216755.071723477,18234.944429967
PA,2000,435758.02,1099714.8,11751.29
PA,2001,453428.69,1307892.32,11751.29
PA,2002,528207.51,1461901.53,14993.460000000001
PA,2003,602986.33,1615910.74,18235.63
PA,2004,677765.1499999999,1769919.95,21477.800000000003
PA,2005,752543.97,1923929.16,24719.97
PA,2006,4319096.941673007,14438216.83362096,90363.911856081
PA,2007,4573211.358471141,32454081.2685678,148031.044309182
PA,2008,4210647.912664921,14322308.009837275,296952.461280277
PA,2009,4738738.14268589,21430130.70898088,275250.276637939
PA,2010,3949763.867166926,12482442.966953922,433885.59922277497
PA,2011,5276848.784158281,19092112.102429774,401580.67372975097
PA,2012,8554007.46283326,23421749.072526887,275540.173884745
PA,2013,2122507147.080635,25327288.207491923,210783.124434178
PA,2014,6455636.756683668,38236540.5407868,350532.084662574
PA,2015,5730298.123092077,33166781.299720272,339068.335396739
PA,2016,3357066.874846436,33521418.660503365,240446.559925274
MD,2000,134888.11,469707.6,3393.19
MD,2001,118729.3,583856.11,3393.19
MD,2002,146374.495,652688.1525,4526.422500000001
MD,2003,174019.69,721520.1950000001,5659.655000000001
MD,2004,201664.885,790352.2375,6792.887500000001
MD,2005,229310.08,859184.28,7926.12
MD,2006,1720507.224994426,4878152.589638523,14809.909057352
MD,2007,1806977.967715128,2298576.776967489,16317.488849892
MD,2008,1934109.579896219,2147748.893216818,16454.559164222
MD,2009,112875072.13643564,2455025.58612789,17262.553000689
MD,2010,1507114.858151912,2936816.118088895,21377.207422577
MD,2011,1782947.281223943,3248266.412440033,18041.774167169
MD,2012,1642655.020329284,1904307.601316852,12269.499710428
MD,2013,1633403.79758194,1578963.511615238,11285.316915573
MD,2014,994346.904832847,1542307.952552897,9442.77367245
MD,2015,182922.273262933,1489587.65092828,12493.451238065
MD,2016,215751.114339923,1737100.3224317527,8837.577590213
MO,2000,240812.4,485477.47,3839.91
MO,2001,278225.8,775970.86,3839.91
MO,2002,337327.0025,890126.3075,5196.827499999999
MO,2003,396428.20499999996,1004281.7549999999,6553.745
MO,2004,455529.4075,1118437.2025,7910.6625
MO,2005,514630.61,1232592.65,9267.58
MO,2006,30927010.95117076,83778608.71178812,711302.18191579
MO,2007,26567177.27562012,28247956.77951917,986513.752205531
MO,2008,23772556.13373975,49236077.28284084,642410.106006534
MO,2009,29438535.420185376,29714659.92953516,991827.073911066
MO,2010,20458675.367533453,28113811.504076533,1050443.639910133
MO,2011,22258615.027156096,31483185.186835,1264007.249524951
MO,2012,42047719.56486472,28490415.76688304,1407959.759388888
MO,2013,24469345.283324767,23917669.596068423,1541329.02768306
MO,2014,19941714.54463454,22120569.043061,1102126.5352182
MO,2015,16923245.927688368,24416249.24898209,1271031.51099891
MO,2016,18782997.7207612,25649648.78436464,379811.152669181
KY,2000,392861.73,327028.42,2726.71
KY,2001,454493.38,345813.18,2726.71
KY,2002,520224.72250000003,365081.98,3512.705
KY,2003,585956.065,384350.78,4298.7
KY,2004,651687.4075,403619.58,5084.695
KY,2005,717418.75,422888.38,5870.69
KY,2006,1610453.352583799,880432.975766961,11548.805819373
KY,2007,1878746.1697177049,1268318.0819083329,12339.176203402
KY,2008,4213148.850159325,1199966.644936508,176052.782184452
KY,2009,3353327.487331729,1471132.272797429,215113.119262723
KY,2010,2733429.603856305,13463399.124498298,293640.34487076
KY,2011,3613193.649481141,22438911.88810833,241224.76697157
KY,2012,2756633.966593058,23655296.16009245,198116.234381142
KY,2013,2541798.784813948,7676244.189269972,205259.70856376
KY,2014,2544441.976193554,5588728.840711104,142848.153818144
KY,2015,2237413.4097977174,6758606.080632106,158265.399344211
KY,2016,2070456.164237216,6990875.2783619445,187359.091377809
AZ,2000,209614.16,387639.97,2404.21
AZ,2001,252079.63,533489.49,2404.21
AZ,2002,289072.51,636439.965,4061.3374999999996
AZ,2003,326065.39,739390.44,5718.465
AZ,2004,363058.27,842340.915,7375.5925
AZ,2005,400051.15,945291.39,9032.72
AZ,2006,1132552.080616395,2201767.228662896,20187.386748922
AZ,2007,1219609.133403139,3042012.877455227,21052.807770708
AZ,2008,1474896.608159262,2823920.885351801,21765.271858559
AZ,2009,1629346.633127515,3263487.004168364,19547.521496358
AZ,2010,1660734.986576462,3669880.79144713,20619.094968657
AZ,2011,1842980.739814402,3978171.338233148,20447.64643474
AZ,2012,1793916.536789373,4259196.683431694,20307.10802148
AZ,2013,1726052.911454054,4465094.319340112,19954.466891384
AZ,2014,1546400.68165788,4183430.403495104,19708.804130676
AZ,2015,1133150.035438149,4097480.924655832,20383.315923241
AZ,2016,1034989.726848774,3952509.449816503,20165.883142908
NV,2000,186895.63,144507.04,1401.97
NV,2001,240084.77,231901.8,1401.97
NV,2002,292181.71,277804.40249999997,1766.84
NV,2003,344278.65,323707.005,2131.71
NV,2004,396375.59,369609.60750000004,2496.58
NV,2005,448472.53,415512.21,2861.45
NV,2006,652647.840609153,524074.747655444,3792.728404705
NV,2007,702907.543317558,628300.887717917,4007.883953677
NV,2008,715296.060555122,713263.23921027,4504.28193098
NV,2009,781668.164537288,778656.295792728,4347.616138278
NV,2010,864071.503186739,929256.055812406,4671.03710416
NV,2011,899810.970253895,1033169.55600786,4831.072897026
NV,2012,822828.213883921,1054795.872436193,4683.114889294
NV,2013,713146.250475457,858851.147982589,4999.871757142
NV,2014,599635.879390264,809098.734213808,5170.2346017
NV,2015,648562.833916453,812441.909937361,4363.5173326
NV,2016,434908.660116512,796548.921544562,4488.178576468
SC,2000,245935.6,296328.2,2519.48
SC,2001,240679.26,350481.59,2519.48
SC,2002,300044.6125,370385.1225,3181.935
SC,2003,359409.96499999997,390288.655,3844.3900000000003
SC,2004,418775.3175,410192.1875,4506.845
SC,2005,478140.67,430095.72,5169.3
SC,2006,1287519.368433461,934116.366729754,11827.646889738
SC,2007,1522076.631786244,1187458.072122931,13416.128109445
SC,2008,1856838.486904604,1416548.633838584,15879.064225571
SC,2009,2386487.726292946,1350485.441407662,11894.94717449
SC,2010,2272292.243994244,1284207.929042433,10681.74420725
SC,2011,2726183.736144485,1460752.879889229,10977.3870084
SC,2012,2541592.428255615,1588210.400136342,10907.738649723
SC,2013,2477263.7474487512,1439510.076617785,10518.729126119
SC,2014,1560946.768454994,1416565.2695814169,10133.73949802
SC,2015,1123225.711327621,1452583.176158811,10077.68812367
SC,2016,1242752.05582414,1441860.0880193976,9008.838335525
OH,2000,498980.74,865827.59,8734.95
OH,2001,532743.48,1025983.39,8734.95
OH,2002,601854.32,1224744.57,11794.585000000001
OH,2003,670965.1599999999,1423505.75,14854.220000000001
OH,2004,740076.0,1622266.9300000002,17913.855000000003
OH,2005,809186.84,1821028.11,20973.49
OH,2006,8132956.57719679,24586827.494967178,166609.201668222
OH,2007,9494127.883372191,32901221.03760833,251131.915805433
OH,2008,9699873.23196838,36219570.17265785,317143.339029914
OH,2009,9369909.899337243,41983734.07413937,326394.163244625
OH,2010,9853755.485215152,41365988.74728207,331287.998916346
OH,2011,10035198.82552372,45295156.63011081,310924.789733444
OH,2012,13177513.201923266,69011064.97435956,326744.712639335
OH,2013,9454505.468513804,43977705.61314681,301454.601085147
OH,2014,12699011.255614623,32214603.29814125,254840.375570559
OH,2015,17811889.71207419,34735260.19512734,258597.153435217
OH,2016,15168649.614311429,37610385.905718185,569527.455422705
VT,2000,12998.43,45329.44,419.23
VT,2001,12561.83,45842.18,419.23
VT,2002,16044.51,54042.6175,547.015
VT,2003,19527.19,62243.05499999999,674.8
VT,2004,23009.87,70443.4925,802.585
VT,2005,26492.55,78643.93,930.37
VT,2006,37433.365841127,129336.10813285,528322.235143939
VT,2007,43124.163251016,145479.052535697,594770.815954076
VT,2008,43377.603408783,178921.106929211,747175.4603386039
VT,2009,64161.66781649,174140.165753085,637313.056428274
VT,2010,43748.97392048301,176888.577435085,581811.32155692
VT,2011,46938.05186077101,206461.161789595,656203.3476097271
VT,2012,46792.226465565,191657.37980436,556371.33007974
VT,2013,42606.664702655,186056.462313325,717234.2456998801
VT,2014,39324.498497735,154468.708330253,566638.995374474
VT,2015,35976.820957812,150882.54484346,459358.268797242
VT,2016,30777.874167982,143001.952422995,369002.9832962
WA,2000,277371.58,424650.12,4335.93
WA,2001,313653.77,604818.53,4335.93
WA,2002,354790.82,672053.7775000001,4964.4975
WA,2003,395927.87,739289.025,5593.0650000000005
