,year,state,hydro_gms,oxy_gms,fent_gms,log_oxy,log_hydro,log_fent,gsp,unempl_rate,min_wage,medicaid_rate,log_gsp,log_unempl_rate,log_min_wage,log_medicaid_rate,snap_rate,poverty_rate,gov_dem,death_rate,log_death_rate,cluster_k3,cluster_k4,cluster_num,cluster_lab,risk_num
42,2008,AZ,23484.2610690158,44964.30118760353,346.5607851674633,0.1954568844970918,0.0756480021164023,-0.0812238511705691,259262.6,6.2,6.9,0.1861056735264623,0.4370809001173261,0.3580035077156787,0.3864823580526264,0.4812010401380343,-0.1421422056904187,1.6126009907419918,1,13.5455,0.3918480837434263,0,0,0,Moderate Risk,1
43,2009,AZ,25686.69518551047,51448.96378313319,308.1672224315853,0.2745008718533267,0.1293310592541051,-0.1393925768184978,243764.6,9.9,7.25,0.2054906754589278,0.3785574519612391,1.8439441820786355,0.6231281474495632,0.8290812514277813,0.4880562811447876,2.5705538811976174,0,16.1338,0.7579571016019995,0,0,0,Moderate Risk,1
44,2010,AZ,25981.391892050066,57413.50173892107,322.5757216956244,0.3388580352538942,0.1361624757634761,-0.1167572023478023,248125.3,10.4,7.25,0.1900844865722349,0.3953922492982825,2.004658460943744,0.6231281474495632,0.5530656369222817,1.1671135941419886,1.7922171577024222,0,17.4977,0.9291804110965912,0,0,0,Moderate Risk,1
45,2011,AZ,28430.07047143661,61367.80979317638,315.42816295151334,0.3779373276735361,0.190099727195629,-0.1278569816210179,257881.1,9.5,7.35,0.1620761410756008,0.432008085628411,1.7099724004675827,0.6888988413946193,0.0419922655848194,1.3010304767567966,1.3731127681280852,0,16.8532,0.8499018998515006,0,0,0,Moderate Risk,1
46,2012,AZ,27374.43509812106,64993.60521499155,309.8781906316784,0.411617343124579,0.1674401981456939,-0.1366501142810923,268068.2,8.3,7.65,0.2069579791114478,0.4687929645297841,1.275096672389036,0.8815859591306998,0.855185080712184,1.445915101747038,1.9119612690093748,0,17.6797,0.9510680070103792,0,0,0,Moderate Risk,1
47,2013,AZ,26047.24383719453,67381.13282630962,301.1256846832414,0.4327841299616511,0.1376784076016905,-0.1508413388288713,275007.5,7.7,7.8,0.2004066479675743,0.4930583562700765,1.0361196186867103,0.9754375812945084,0.7383882666910686,1.3581932546092166,2.2711936029302344,0,18.7376,1.0742167000131633,0,0,0,Moderate Risk,1
48,2014,AZ,22972.656276949925,62147.22345763734,292.78542637367923,0.3853422079155486,0.0624577516805243,-0.1647519925675934,284851.4,6.8,7.9,0.237734296543169,0.5264503070845679,0.6448227642382622,1.0371207411197394,1.3955132929679614,1.083895097996055,2.5705538811976174,0,18.1685,1.0088127341365274,0,0,0,Moderate Risk,1
49,2015,AZ,16595.478154325552,60009.401267501584,298.5225817744998,0.3648039833066562,-0.1322727441977076,-0.1551413792728593,298615.0,6.1,8.05,0.2544587766681758,0.5712531170442013,0.3078862185667247,1.1283579885132018,1.683531345021349,0.8878384211390388,1.3731127681280852,0,19.0161,1.105539239654261,0,0,0,Moderate Risk,1
50,2016,AZ,14932.608926510404,57025.95529343883,290.9490198976175,0.3348841698735271,-0.1955002471544668,-0.1678679436869446,313056.5,5.4,8.05,0.2726761802787811,0.6160949472578249,-0.0640517138008446,1.1283579885132018,1.9929224440872952,0.7100067661506217,1.0438164620339645,0,20.2697,1.2413374417607193,0,0,0,Moderate Risk,1
51,2000,AR,6541.975013091943,4466.238497793072,55.51470038153663,-1.1593822894344017,-0.6897095910060278,-0.9838583596790768,68740.4,4.3,5.15,0.1463524812326494,-0.8233308360546363,-0.7398356881704345,-0.9804848813290687,-0.2503463279355822,-0.3172495126859049,1.1635605733409171,0,5.3887,-1.4474010900409575,2,2,2,Low Risk,0
