year,state,hydro_gms,oxy_gms,fent_gms,log_oxy,log_hydro,log_fent,gsp,unempl_rate,min_wage,medicaid_rate,log_gsp,log_unempl_rate,log_min_wage,log_medicaid_rate,snap_rate,poverty_rate,gov_dem,death_rate,log_death_rate
2010,AL,513047.4965877867,279492.4266875813,377.1630455874969,1.267470994041814,1.9225930160445035,-0.03929037221532397,175470.1,10.5,7.25,0.1791052729353661,0.0664364772601635,2.0359540988369704,0.6231281474495632,0.3541738978783707,1.3741978161942336,1.403048795954824,0,11.7688,0.10061555627661176
2011,AL,789121.5963900151,626196.1753813992,382.2824511341859,1.7407812524720425,2.1804416833471203,-0.032608342254848335,181929.9,9.6,7.25,0.1911116510306478,0.1007621745728747,1.743937846825278,0.6231281474495632,0.5715790754488126,1.8968552342764073,0.8342642672467961,0,11.7632,0.09963492573041949
2012,AL,908127.0688731876,859193.7972616769,386.1234045493976,1.926382976128037,2.2645626290045318,-0.02765333578627499,186553.9,8.0,7.25,0.1947531640995866,0.12459249283705448,1.1575999899684983,0.6231281474495632,0.6370847049864028,1.8355871154210595,1.0737524898607023,0,12.0706,0.1528381910337084
2013,AL,885375.0982881851,880013.3183536646,405.67957494075995,1.9404308561398256,2.249367307517915,-0.0031638234806123672,192166.5,7.2,7.25,0.1977927492313275,0.15273643131053347,0.824026492654216,0.6231281474495632,0.6916098101143017,1.8463389454279668,1.2234326289943938,0,12.7176,0.26084407988623326
2014,AL,1251903.4036421934,734745.4945968044,415.7342515638607,1.8345766581084197,2.456824608526192,0.008972655323489277,195037.7,6.8,7.25,0.2137542264765637,0.16681761224332878,0.6448227642382622,0.6231281474495632,0.9756801861180733,1.7754023805251986,1.5527289350885154,0,15.1532,0.6262087681391267
2015,AL,832464.5045725369,637532.3014681546,432.0825159674903,1.7513079699878455,2.212463865319638,0.028094117671311265,200197.5,6.1,7.25,0.2164791594665427,0.1916095061513585,0.3078862185667247,0.6231281474495632,1.0238029179277128,1.708334546098331,1.103688517687441,0,15.6639,0.6957917344431452
2016,AL,812690.2301204382,567108.9695225675,561.9093406304361,1.682628853770376,2.198066462335535,0.1583831327428836,204454.7,5.8,7.25,0.2136292092669411,0.21158814981860277,0.15318617659227948,0.6231281474495632,0.9734697719033153,1.521515506443646,1.0737524898607023,0,16.2075,0.7675522929991359
2000,AK,4309.6220961763,11866.633063872956,97.81922122335436,-0.5861173334135674,-0.9396281323237116,-0.7061807658135192,26815.8,6.4,5.65,0.1324297769136079,-1.717086255308925,0.4561830125641218,-0.5537910807310127,-0.512567902936266,-1.034316162027242,-1.5007459032387915,1,7.1077,-0.9147215049383035
2001,AK,5083.329388336064,17405.353203495582,96.77236103352615,-0.36138626612122715,-0.8407644408483632,-0.7114731216203721,28455.4,6.4,5.65,0.1388023619487655,-1.6607405644155628,0.4561830125641218,-0.5537910807310127,-0.39214821395207616,-1.0332879657213032,-1.2313216527981468,1,9.3983,-0.35846941796035653
2002,AK,5530.430288150924,16517.12341029709,112.53711058213992,-0.3921176813718028,-0.7902888493896176,-0.6371888323912408,29633.4,7.3,7.15,0.1437640989075828,-1.6222275554942382,0.8674613003584885,0.5565553521091032,-0.29885431651692385,-0.7653371016482948,-1.1415135693179315,1,12.1995,0.17477618414303459
2003,AK,5989.110352336625,15713.884956216245,128.3863395916806,-0.4213662544952721,-0.7425800080627193,-0.5722540740031883,31789.7,7.8,7.15,0.1497114497836258,-1.5555389278864469,1.0770723817107175,0.5565553521091032,-0.18756008177436692,-0.6254584910392307,-0.9020253467040255,0,12.7245,0.2619682550241831
