state,year,sex,age_group,age_group_detail,race,death_rate,death_rate_log,us_crude_rate,us_age_adjusted_rate,deaths,population,hydro_gms,oxy_gms,fent_gms,state_name,state_abbr,poverty_rate,unempl_rate,gsp,min_wage,snap_rate,medicaid_rate,gov_dem
AK,2007,Both Sexes,All Ages,All Ages,All Races,10.0941,1.0450920762041165,11.9543,11.8775,72,680300,11901.87045898883,20733.50954848273,231.64419943275024,Alaska,AK,7.6,6.3,49002.6,7.15,0.0825826841099515,0.1414331912391592,0
AK,2008,Both Sexes,All Ages,All Ages,All Races,18.1345,1.2818171182418328,11.9864,11.8947,127,687455,12520.064370304965,22284.050067730688,248.2749666095963,Alaska,AK,8.2,6.7,54759.0,7.15,0.0828810613058309,0.1406928453498774,0
AK,2009,Both Sexes,All Ages,All Ages,All Races,17.8528,1.2753758603372205,12.0624,11.9388,131,698895,12793.493495871056,24074.561229144434,235.59882385193774,Alaska,AK,11.7,7.7,49651.6,7.15,0.0921239957361263,0.1458759899555727,0
AK,2010,Both Sexes,All Ages,All Ages,All Races,11.5962,1.100239547662094,12.4144,12.2966,83,710231,12781.68057017956,24581.72335390753,260.85183482543005,Alaska,AK,12.4,7.9,52947.7,7.75,0.1070793237242789,0.1585886176128643,0
AK,2011,Both Sexes,All Ages,All Ages,All Races,14.2364,1.1828823656371392,13.2674,13.1852,107,722718,13401.238244947406,25890.462619618025,254.8443658453228,Alaska,AK,11.7,7.6,56333.9,7.75,0.1191533910885604,0.1663749362993818,0
AK,2012,Both Sexes,All Ages,All Ages,All Races,17.4251,1.2654098536182172,13.2208,13.1422,129,731449,11552.812576687369,24388.95678707989,224.7360329007217,Alaska,AK,10.0,7.1,57717.5,7.75,0.1249894470889583,0.1670287756881782,0
AK,2013,Both Sexes,All Ages,All Ages,All Races,14.3519,1.186162132806777,13.9127,13.8005,105,735132,10733.95845651053,22910.124412068035,199.7706390076884,Alaska,AK,10.9,7.0,56625.3,7.75,0.1239557724660411,0.1486972708081208,0
AK,2014,Both Sexes,All Ages,All Ages,All Races,16.7585,1.249406279616309,14.7574,14.6831,124,736732,10583.672252811743,22837.61171159648,187.56785578745053,Alaska,AK,11.9,6.9,55750.6,7.75,0.11882115979861,0.1596777326109661,0
AK,2015,Both Sexes,All Ages,All Ages,All Races,15.9606,1.229441211840506,16.304,16.2923,122,738432,9200.938413988559,23832.583502977934,186.93543674976166,Alaska,AK,9.2,6.5,50728.1,8.75,0.1099952135463418,0.1763001391190213,0
AK,2016,Both Sexes,All Ages,All Ages,All Races,16.8331,1.2512268449066843,19.6925,19.7851,128,741894,9990.708086996527,26046.680827852902,181.75935581767746,Alaska,AK,12.6,6.9,49755.6,9.75,0.1110328866446559,0.2081296799810103,0
AZ,2000,Both Sexes,All Ages,All Ages,All Races,10.5896,1.0640684471119524,6.1882,6.1749,522,5130632,4085.5426777831663,7555.403895660417,46.8599190119268,Arizona,AZ,11.7,4.0,164609.9,5.15,0.0501892614520909,0.0937864420823526,0
AZ,2001,Both Sexes,All Ages,All Ages,All Races,10.9008,1.0755761566788786,6.8057,6.7922,552,5273477,4780.1408823817765,10116.465663925337,45.5906036946781,Arizona,AZ,14.6,4.8,171480.5,5.15,0.0552523505838747,0.1107722665709929,0
AZ,2002,Both Sexes,All Ages,All Ages,All Races,12.005,1.1141103565318915,8.1766,8.1957,624,5396255,5356.909745740333,11794.104707801986,75.26214939805476,Arizona,AZ,13.5,6.1,179475.6,5.15,0.0701823764814672,0.1489840639480528,0
AZ,2003,Both Sexes,All Ages,All Ages,All Races,12.7405,1.1380025364564317,8.8881,8.8765,674,5510364,5917.311270181063,13418.177819105962,103.77653817424766,Arizona,AZ,13.5,5.7,192764.8,5.15,0.0845956818823584,0.1757063598702372,1
AZ,2004,Both Sexes,All Ages,All Ages,All Races,13.6816,1.166773387549136,9.366,9.3831,744,5652404,6423.077154428453,14902.348009802554,130.48594014157516,Arizona,AZ,14.4,5.0,205390.5,5.15,0.0936868631470786,0.1798956691701442,1
AZ,2005,Both Sexes,All Ages,All Ages,All Races,14.135,1.1799824252925917,10.0884,10.0699,794,5839077,6851.273754396457,16189.055050995219,154.694312131866,Arizona,AZ,15.2,4.7,228232.6,5.15,0.0942428058407176,0.1877956053670811,1
AZ,2006,Both Sexes,All Ages,All Ages,All Races,14.9163,1.2018421163952282,11.5373,11.4883,876,6029141,18784.63417286799,36518.75497127859,334.8302311875274,Arizona,AZ,14.4,4.2,248154.2,5.15,0.0896947011191146,0.1762620910673676,1
AZ,2007,Both Sexes,All Ages,All Ages,All Races,15.7117,1.2230206308069818,11.9543,11.8775,943,6167681,19774.19281903748,49321.82577949844,341.340736829742,Arizona,AZ,14.3,3.9,262245.3,6.75,0.0883132574463562,0.1779017105456654,1
AZ,2008,Both Sexes,All Ages,All Ages,All Races,13.5455,1.162728654665835,11.9864,11.8947,828,6280362,23484.2610690158,44964.30118760353,346.5607851674633,Arizona,AZ,18.0,6.2,259262.6,6.9,0.0999400989942936,0.1861056735264623,1
AZ,2009,Both Sexes,All Ages,All Ages,All Races,16.1338,1.2338536931471016,12.0624,11.9388,1002,6343154,25686.69518551047,51448.96378313319,308.1672224315853,Arizona,AZ,21.2,9.9,243764.6,7.25,0.1283252779295599,0.2054906754589278,0
AZ,2010,Both Sexes,All Ages,All Ages,All Races,17.4977,1.2671177316783706,12.4144,12.2966,1098,6392017,25981.391892050066,57413.50173892107,322.5757216956244,Arizona,AZ,18.6,10.4,248125.3,7.25,0.1589111389549086,0.1900844865722349,0
AZ,2011,Both Sexes,All Ages,All Ages,All Races,16.8532,1.2517160701841354,13.2674,13.1852,1071,6482505,28430.070471436615,61367.80979317638,315.42816295151334,Arizona,AZ,17.2,9.5,257881.1,7.35,0.1649429761536361,0.1620761410756008,0
AZ,2012,Both Sexes,All Ages,All Ages,All Races,17.6797,1.2713698970872869,13.2208,13.1422,1134,6553255,27374.43509812106,64993.60521499155,309.8781906316784,Arizona,AZ,19.0,8.3,268068.2,7.65,0.1714688185528616,0.2069579791114478,0
AZ,2013,Both Sexes,All Ages,All Ages,All Races,18.7376,1.2952943433628066,13.9127,13.8005,1222,6626624,26047.24383719453,67381.13282630962,301.1256846832414,Arizona,AZ,20.2,7.7,275007.5,7.8,0.1675176819196341,0.2004066479675743,0
AZ,2014,Both Sexes,All Ages,All Ages,All Races,18.1685,1.2825881291946537,14.7574,14.6831,1211,6731484,22972.656276949925,62147.22345763734,292.78542637367923,Arizona,AZ,21.2,6.8,284851.4,7.9,0.1551628406756019,0.237734296543169,0
AZ,2015,Both Sexes,All Ages,All Ages,All Races,19.0161,1.301379462080545,16.304,16.2923,1274,6828065,16595.478154325552,60009.401267501584,298.5225817744998,Arizona,AZ,17.2,6.1,298615.0,8.05,0.1463321246864419,0.2544587766681758,0
AZ,2016,Both Sexes,All Ages,All Ages,All Races,20.2697,1.327761364408446,19.6925,19.7851,1382,6931071,14932.608926510404,57025.95529343883,290.9490198976175,Arizona,AZ,16.1,5.4,313056.5,8.05,0.1383222937321497,0.2726761802787811,0
AR,2000,Both Sexes,All Ages,All Ages,All Races,5.3887,0.8054124950497237,6.1882,6.1749,140,2673400,6541.975013091943,4466.238497793072,55.51470038153663,Arkansas,AR,16.5,4.3,68740.4,5.15,0.0920529771655812,0.1463524812326494,0
AR,2001,Both Sexes,All Ages,All Ages,All Races,4.846,0.7668588110214176,6.8057,6.7922,126,2691571,7538.410095813932,5729.514844676213,55.139916427989455,Arkansas,AR,17.8,5.0,70680.3,5.15,0.0952755844077678,0.1643560582277042,0
AR,2002,Both Sexes,All Ages,All Ages,All Races,6.8274,0.8936175279369108,8.1766,8.1957,176,2705927,8659.196275435368,7037.9397707329135,72.94875286731681,Arkansas,AR,19.8,5.5,73986.5,5.15,0.1049211601052061,0.1818818467756151,0
AR,2003,Both Sexes,All Ages,All Ages,All Races,7.0314,0.9047912562722684,8.8881,8.8765,184,2724816,9751.902513784418,8318.692528229429,90.41894938961016,Arkansas,AR,17.8,5.9,78306.3,5.15,0.1139009019324607,0.2075365822866571,0
AR,2004,Both Sexes,All Ages,All Ages,All Races,8.6534,0.984680302066374,9.366,9.3831,230,2749686,10806.007304106724,9560.968688788465,107.41444659499302,Arkansas,AR,15.1,5.7,84557.0,5.15,0.1259929315565486,0.2110400969419781,0
AR,2005,Both Sexes,All Ages,All Ages,All Races,10.0735,1.0442849099883322,10.0884,10.0699,269,2781097,11813.365013877617,10755.618016919221,123.81337292442514,Arkansas,AR,13.8,5.2,89643.1,5.15,0.1343944493845414,0.2204766680198497,0
AR,2006,Both Sexes,All Ages,All Ages,All Races,10.4539,1.0589533871204415,11.5373,11.4883,285,2821761,45278.90997750582,70937.40122997283,694.7573802610143,Arkansas,AR,17.7,5.2,94451.6,5.15,0.1364002833691443,0.2237737356211245,0
AR,2007,Both Sexes,All Ages,All Ages,All Races,10.8886,1.0751307151676417,11.9543,11.8775,301,2848650,53456.82285687783,70637.00681704297,939.847372412125,Arkansas,AR,13.8,5.3,96991.9,6.25,0.1333150790725431,0.2175525248802064,1
AR,2008,Both Sexes,All Ages,All Ages,All Races,13.0512,1.1477134154242938,11.9864,11.8947,360,2874554,65373.72432735854,72636.55647008377,953.045357088091,Arkansas,AR,15.3,5.5,99014.4,6.25,0.1314579583476254,0.2148990765176093,1
AR,2009,Both Sexes,All Ages,All Ages,All Races,12.5975,1.1334590674872087,12.0624,11.9388,351,2896843,65250.39364896382,88139.39802512841,754.3258317461803,Arkansas,AR,18.9,7.8,96983.7,6.25,0.1419314060168259,0.2180290751000313,1
AR,2010,Both Sexes,All Ages,All Ages,All Races,12.5146,1.1308031961417695,12.4144,12.2966,350,2915918,68996.46966227442,77914.11185418475,662.7391901056545,Arkansas,AR,15.5,8.2,100970.8,6.25,0.1596864300860654,0.2214866439148463,1
AR,2011,Both Sexes,All Ages,All Ages,All Races,12.6401,1.134817554285929,13.2674,13.1852,355,2937979,77487.05577246784,79738.69321322259,748.2831021555975,Arkansas,AR,18.7,8.3,105107.8,6.25,0.1654219943978696,0.2254400107186566,1
AR,2012,Both Sexes,All Ages,All Ages,All Races,13.0962,1.1491020529777478,13.2208,13.1422,373,2949131,77783.95930582246,95818.17680661411,745.8592090806072,Arkansas,AR,20.1,7.6,107718.8,6.25,0.1700870107487253,0.2226353278476399,1
AR,2013,Both Sexes,All Ages,All Ages,All Races,11.0713,1.081754043289101,13.9127,13.8005,319,2959373,74982.09177601735,99866.29522986012,605.7085162101566,Arkansas,AR,17.1,7.2,112764.6,6.25,0.1705146031965939,0.2246705413259444,1
AR,2014,Both Sexes,All Ages,All Ages,All Races,12.55,1.1319392952104246,14.7574,14.6831,356,2966369,89743.87525756245,113965.31853635785,672.8848699299716,Arkansas,AR,18.4,6.0,116151.8,6.25,0.1657903640637974,0.2932467297883124,1
AR,2015,Both Sexes,All Ages,All Ages,All Races,13.8454,1.1715919038823754,16.304,16.2923,392,2978204,124449.22477726596,109269.16446414177,659.5615782656594,Arkansas,AR,16.1,5.0,117734.3,7.5,0.157453472878879,0.3072633483409266,0
AR,2016,Both Sexes,All Ages,All Ages,All Races,13.9917,1.1758508829321657,19.6925,19.7851,401,2988248,115780.8637872876,104485.21758019409,579.0964916857971,Arkansas,AR,16.0,4.0,119191.8,8.0,0.1425019013899378,0.2943799796516159,0
CA,2000,Both Sexes,All Ages,All Ages,All Races,5.8355,0.83477028763813,6.1882,6.1749,1941,33871648,5514.74808665938,2463.176548126622,51.817614542994775,California,CA,12.7,4.9,1366166.5,6.25,0.0538925279371584,0.1814999462898306,1
CA,2001,Both Sexes,All Ages,All Ages,All Races,3.6186,0.6645103512235819,6.8057,6.7922,1226,34479458,5976.769791450898,3598.001830539216,50.904164444812324,California,CA,12.6,5.4,1387551.8,6.25,0.0483868394915024,0.1956979428156904,1
CA,2002,Both Sexes,All Ages,All Ages,All Races,8.6703,0.9854399473325977,8.1766,8.1957,2975,34871843,6670.237224054948,4320.807972495173,66.13439530569119,California,CA,13.1,6.7,1439341.7,6.75,0.0490454720159184,0.2143523071034702,1
CA,2003,Both Sexes,All Ages,All Ages,All Races,8.9283,0.9968748916147782,8.8881,8.8765,3108,35253159,7350.579489911813,5029.107363116026,81.05113360195607,California,CA,13.1,6.8,1530559.8,6.75,0.0484596004573661,0.2240281785811024,1
